GEOID,NAME,total_popE,total_popM,median_incomeE,median_incomeM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,hispanicE,hispanicM,age_medianE,age_medianM
55035,"Eau Claire County, Wisconsin",105697,NA,70127,1894,94693,421,1393,260,309,109,4342,370,45,54,809,352,4106,618,2941,NA,35.5,0.2
55039,"Fond du Lac County, Wisconsin",104027,NA,70368,2178,94069,544,1642,299,195,105,1644,109,88,72,1569,550,4820,658,6006,NA,41.9,0.4
55055,"Jefferson County, Wisconsin",85932,NA,77018,2226,78429,479,994,240,255,182,435,173,25,31,2029,570,3765,452,6431,NA,41.5,0.4
55059,"Kenosha County, Wisconsin",168693,NA,76583,3057,133072,1116,11025,541,648,226,3068,245,97,48,4952,979,15831,1280,23643,NA,38.9,0.3
55063,"La Crosse County, Wisconsin",120216,NA,68731,2553,107438,379,1814,297,391,197,5350,312,67,47,891,245,4265,540,2670,NA,36.6,0.3
55071,"Manitowoc County, Wisconsin",81242,NA,66412,2707,73992,361,870,219,303,107,2067,255,119,128,656,340,3235,524,3803,NA,45,0.1
55073,"Marathon County, Wisconsin",137820,NA,73248,2831,122159,419,765,216,283,126,7711,260,102,100,1678,452,5122,416,4247,NA,41,0.3
55079,"Milwaukee County, Wisconsin",933063,NA,59319,810,506296,2208,243518,1770,5188,642,43166,899,262,63,53105,2675,81528,3389,150011,NA,35.3,0.1
55087,"Outagamie County, Wisconsin",190611,NA,78705,1736,167326,589,2764,233,2446,281,6469,409,108,48,2942,481,8556,760,8995,NA,38.5,0.2
55089,"Ozaukee County, Wisconsin",91745,NA,92258,3564,83861,343,1274,226,124,54,1977,213,21,17,786,208,3702,464,3086,NA,43.8,0.3
55097,"Portage County, Wisconsin",70281,NA,71301,2422,64211,287,619,115,165,73,2042,255,6,9,1155,243,2083,355,2548,NA,37.8,0.4
55101,"Racine County, Wisconsin",197068,NA,72658,2080,150173,1393,21344,756,628,196,2585,296,168,162,5916,843,16254,1435,28478,NA,40.2,0.3
55105,"Rock County, Wisconsin",163817,NA,70630,1649,136720,934,7595,552,338,169,1881,220,10,10,5835,976,11438,1158,15520,NA,40,0.3
55109,"St. Croix County, Wisconsin",93752,NA,97950,4499,87951,432,620,205,92,55,887,166,6,8,696,210,3500,483,2475,NA,39.7,0.4
55111,"Sauk County, Wisconsin",65664,NA,72930,2091,60258,346,534,152,527,138,283,92,0,22,1060,291,3002,453,3797,NA,41.1,0.3
55117,"Sheboygan County, Wisconsin",117741,NA,68969,2040,100929,491,2314,261,251,74,7042,165,17,24,1503,299,5685,582,8152,NA,41.5,0.5
55127,"Walworth County, Wisconsin",105127,NA,75172,2150,93316,715,839,136,288,108,927,151,19,27,3355,611,6383,780,11938,NA,40.7,0.3
55131,"Washington County, Wisconsin",136842,NA,91915,2441,126654,458,1835,326,284,150,1954,174,27,23,1148,332,4940,638,4688,NA,43.4,0.3
55133,"Waukesha County, Wisconsin",407290,NA,101639,1566,362828,1046,6480,367,737,271,15778,503,117,67,4546,816,16804,957,20929,NA,43.3,0.2
55139,"Winnebago County, Wisconsin",171197,NA,70041,1478,152010,766,4421,352,680,167,5283,397,120,175,2109,720,6574,894,7700,NA,38.4,0.3
55141,"Wood County, Wisconsin",74138,NA,63273,2057,68727,385,556,148,291,107,1431,165,4,8,693,289,2436,367,2515,NA,43.9,0.3
56021,"Laramie County, Wyoming",100316,NA,76282,2658,85134,1072,2367,377,983,281,1104,199,136,49,3473,757,7119,890,15560,NA,38,0.4
56025,"Natrona County, Wyoming",79506,NA,69104,3149,72388,613,313,140,813,213,421,138,126,158,1291,408,4154,553,7263,NA,37.7,0.4
72013,"Arecibo Municipio, Puerto Rico",87217,NA,21799,1073,30732,1886,2643,525,74,77,867,330,0,35,25641,1614,27260,1853,86644,207,44.6,0.1
72021,"Bayamón Municipio, Puerto Rico",184326,NA,29403,857,67758,2766,12744,1036,139,95,341,187,0,35,43772,2170,59572,2623,182187,612,43.7,0.2
72025,"Caguas Municipio, Puerto Rico",126772,NA,29279,1417,70715,2652,11144,1273,345,203,426,347,0,35,25777,1919,18365,1738,124314,510,43.8,0.3
72031,"Carolina Municipio, Puerto Rico",154126,NA,32888,1148,55423,2418,21128,1614,105,91,508,223,18,29,49766,2756,27178,1947,152216,712,44.3,0.2
72061,"Guaynabo Municipio, Puerto Rico",89554,NA,43304,2733,34987,1929,4873,740,181,129,150,133,0,35,16508,1514,32855,2112,88184,427,46.3,0.2
72097,"Mayagüez Municipio, Puerto Rico",72721,NA,16788,760,12221,1126,1758,336,25,34,38,37,0,35,53772,1343,4907,789,72113,283,42.8,0.4
72113,"Ponce Municipio, Puerto Rico",136542,NA,18994,813,73581,2431,7736,962,177,127,80,70,0,35,11642,1377,43326,2194,135589,289,43.5,0.2
72127,"San Juan Municipio, Puerto Rico",340903,NA,26111,806,140669,3773,40160,2384,781,248,1007,360,87,62,82826,3107,75373,3218,333821,1130,45,0.1
72135,"Toa Alta Municipio, Puerto Rico",66699,NA,32456,2077,35301,2041,3513,804,0,35,117,113,0,35,10690,1403,17078,1507,66106,294,41.1,0.6
72137,"Toa Baja Municipio, Puerto Rico",74854,NA,28719,1563,29609,1851,6180,927,272,220,0,35,0,35,26133,1825,12660,1642,74172,267,42.6,0.3
72139,"Trujillo Alto Municipio, Puerto Rico",67497,NA,35821,2196,36205,2130,8566,1261,65,68,163,223,0,35,7585,1501,14913,1669,67051,151,42.7,0.5
